id	title	device_name	similar_devices	about	network	company	locations	consumer_release	compatibility	price	connectivity	primary_applications	image_name	potential_workplace_benefits	power_source	componentry
104	Lumo Lift	Lift	"Qardio QardioCore,Sensible Baby Smart One,Run-N-Read,Taser Axon Flex,4iiii Viiiiva"	"          The Lumo Lift is a wearable activity monitor with posture sensing capabilities. Its primary purpose is to vibrate and remind the user when their posture is poor. The synchronized app can then collect the data and inform the user of how good their posture was during the day. The Lift also can act as an activity monitor that reminds the user to get active. This technological device is designed to be discreet. Only consisting of a small pod and a magnetic clasp, the lift can fit in any piece of clothing and can be either hidden or exposed. Lumo offers several clasp designs to choose from, enabling the lift to become a more stylish product. The battery can be completely charged in 2 hours with each charge lasting 5 days."	"http://www.lumobodytech.com/,http://www.facebook.com/lumobodytech,http://www.twitter.com/lumobodytech,http://www.youtube.com/lumobodytech,https://plus.google.com/101887897428558101341/posts"	Lumo	"Shoulders,Chest"	Est. Q2 2014	"iOS,Android"	$69.00 USD	Bluetooth	Lifestyle	Lumo%20Lift.png?itok=sUaLm82z	Health	Rechargeable Battery	Undisclosed
105	Lumus DK-40	DK-40	"Epson Moverio BT-200,META Pro,META Developer Edition,Google Glass,Avegant Glyph"	"          The Lumus DK-40 is a wearable head mounted display with augmented reality capabilities. It is designed to appear similar to a generic pair of glasses. The display mounted on the right temple projects a screen on the center of the right eyepiece. This, in conjunction with the camera and sensors, allows the DK-40 to have augmented reality capabilities. Although this hi-tech device is a promising product in the development stages, Lumus is planning to release the DK-40 to OEM manufacturers only. This means that we will most likely see the Lumus brand on another product rather than have an exclusive product from Lumus."	http://www.lumus-optical.com/?option=com_content&task=view&id=9&Itemid=15	Lumus	Head	Undisclosed	Android	No Announcement Yet	Undisclosed	Lifestyle	Lumus%20DK-40_0.jpg?itok=ZExjn4vV	Communication	Rechargeable Battery	"Accelerometer,Gyroscope,Magnetometer,Video Camera,DLP Display"
106	Martian Watches	"Passport, Victory, G2G"	"Samsung Gear,LG Lifeband Touch,Atlas Fitness Tracker,FitBit Force,Samsung Gear 2 Neo"	"          The Martian Watch collection are wearable smart watches that come in a variety of styles including the Passport, Victory, and G2G series. By wirelessly connecting to a user's smart phone, these smart watches allow a user to receive notifications, send and receive SMS text messages, answer and place calls, set memos using voice commands, control their phone's camera, and even know when they have wandered too far from their phone. The batteries of this technological device will last for over 2 hours of talk time, and about 7 days on standby."	"http://www.martianwatches.com/products/watch-models/,https://www.facebook.com/martianwatches,https://twitter.com/martianwatches,http://www.youtube.com/martianwatches"	Martian Watches	Wrist	Available Now	"iOS,Android"	$299.00 USD	"Bluetooth,USB"	Lifestyle	Martian%20Watches_0.jpg?itok=lgiQK08u	Communication	Rechargeable Battery	"Accelerometer,Button Interface,Microphone,Audio Speaker,OLED Display,Vibrator,Clock,Gesture Interface"
107	Mbody Smart System	Mbody	"Athos,Heapsylon Sensoria Sock,Catapult OptimEye S5,Cyberdyne HAL,BSX Insight"	"          The Mbody Smart System is a combination of technologies designed to record and improve muscle performance during training sessions. The system is made of MShorts, a piece of wearable device that gathers muscles' activity data, and MCell, a remote control device that analyses the data. Mbody works with the smartphone application Mbody Live. When coupled to MCell, the app allows the user to track workout techniques, muscular balance and performance, while increasing awareness and knowledge about training intensity control. Mbody data is also transferable to the Suunto Movescount app."	"http://www.mbody.fi/frontpage#story,https://www.facebook.com/KnowYourMuscles"	Myontec	Legs	Available Now	"Windows,Windows Mobile,iOS,Android"	"$1,223.22 USD"	Bluetooth	"Fitness,Medical"	mbody-smart-shorts-500x523.jpg?itok=uTV6xPV-	Productivity	Rechargeable Battery	"Heart Rate Monitor,Altimeter,Accelerometer,Muscle Contraction Sensor"
108	MEMI Smartbracelet	MEMI	"Sonostar SmartWatch,Kapture Audio Recording Wristband Watch,Lark Pro Wristband,Jawbone Up,I%u2019m S.p.A I%u2019m Watch"	"          The MEMI Smartbracelet is a wearable device that works as a hand-free version of a smartphone. MEMI vibrates to alert the user of incoming calls, and allows an easy access to calendar notifications using a side button as well as a double-tap motion sensing property."	"http://www.hellomemi.com/pre-order.html,https://twitter.com/HelloMemi,https://www.facebook.com/MEMIbracelet,http://www.pinterest.com/hellomemi/"	MEMI	Wrist	Aug-14	iOS	$150.00 USD	"Bluetooth,USB"	Lifestyle	Memi%20Ring.png?itok=bi5mGiRY	Communication	Rechargeable Battery	"Vibrator,Button Interface,Touch Interface"
109	META Developer Edition	META.01 Developer Edition	"META Pro,Atheer One,Epson Moverio BT-200,Lumus DK-40,Avegant Glyph"	"          The Meta Spaceglasses are a head mounted display with augmented reality capabilities. This wearable device features two transparent 960x640 pixel screens at a 23° field of view. The aim is to overlay a virtual image over the real world that would enable the user to interact between the real world and the virtual world. Applications include: chess, 3D sculpting, laser tag, gameplay, and much more."	"https://www.spaceglasses.com/technology,https://www.facebook.com/pages/Meta/403892039687887,https://twitter.com/metaglasses,https://plus.google.com/u/0/b/107305201278146177612/107305201278146177612/about"	META	Head	Est. June 2014	Windows	$667.00 USD	Proprietary	"Entertainment,Gaming,Lifestyle"	Meta%20SpaceGlasses_0.jpg?itok=0diO70w8	Productivity	External Source	"Accelerometer,Gyroscope,Magnetometer,DLP Display,Depth Camera,Video Camera,Gesture Interface,Audio Speaker"
110	META Pro	META Pro	"META Developer Edition,Atheer One,Epson Moverio BT-200,Mirama Digital Glasses,Lumus DK-40"	"          The Meta Pro glasses are a wearable head mounted display with augmented reality capabilities. The Metapro features two transparent 1280x720 pixel screens at a 40° field of view. The aim is to overlay a virtual image over the real world that would enable the user to interact between the real world and the virtual world. Applications include: chess, 3D sculpting, laser tag, gameplay, and much more. This technological device also includes a pocket computer, which is comprised of a 1.5 GHz Intel i5 processor, a GPU, 4GB of RAM, and a 128 GB SSD."	"https://www.spaceglasses.com/,https://www.facebook.com/spaceglasses/,https://twitter.com/metaglasses/"	META	Head	Est. Q3 2014	Undisclosed	"$3,650.00 USD"	"WiFi,Bluetooth,USB"	"Entertainment,Gaming,Lifestyle"	metapro_prototype.jpg?itok=FOdJgdto	Productivity	"Rechargeable Battery,External Source"	"Accelerometer,Gyroscope,Magnetometer,DLP Display,Depth Camera,Video Camera,Gesture Interface,Audio Speaker"
111	MetaWatch Frame	Frame	"MetaWatch Strata,Basis B1,ConnecteDevice Cogito Watch,ConnecteDevice Cookoo,Wellograph Watch"	"          The MetaWatch Frame watch is a wearable device designed for people leading an adventurous and active lifestyle. Both shock and water resistant, the Frame displays calendar, weather-related information, link to a music library, and notifications. The business-like Frame model also allows access to messages and incoming calls. This technological device allows an easy and non-disrupting access to smartphones' main features via an application found in the Apple App Store and Google Play."	"http://www.metawatch.com/collection,https://www.facebook.com/MetaWatch,https://twitter.com/Metawatch ,https://plus.google.com/109914752638067250036/posts"	MetaWatch	Wrist	Available Now	"Android,iOS"	$229.99 USD	"Bluetooth,USB"	Lifestyle	MetaWatch%20Watches_0.jpg?itok=YXD3bRCO	Communication	Rechargeable Battery	"LCD Display,Accelerometer,Ambient Light Sensor,Clock,Button Interface"
112	MetaWatch Strata	Strata	"MetaWatch Frame,Basis B1,ConnecteDevice Cogito Watch,ConnecteDevice Cookoo,Wellograph Watch"	"          The MetaWatch Strata watch is a wearable smart device designed for people leading an adventurous and active lifestyle. Both shock and water resistant, the Strata displays calendar, weather-related information, link to a music library, and notifications. This technological device allows an easy and non-disrupting access to smartphones' main features via an application found in the Apple App Store and Google Play."	"http://www.metawatch.com/collection,https://www.facebook.com/MetaWatch,https://twitter.com/Metawatch ,https://plus.google.com/109914752638067250036/posts"	MetaWatch	Wrist	Available Now	"Android,iOS"	$179.99 USD	"Bluetooth,USB"	Lifestyle	015af364f33d213701bb501fe38523fc_large.jpg?itok=QCpNAw2a	Communication	Rechargeable Battery	"LCD Display,Accelerometer,Ambient Light Sensor,Clock,Button Interface"
113	Metria IH1	Metria IH1	"BodyMedia Link Armband,Qardio QardioArm,Withings Blood Pressure Monitor,Thalmic Labs MYO Armband,Be Bionic"	          The Metria IH1 is a disposable wearable device that detects the user's skin temperature and activity. This piece of technology is worn on the upper left arm and sticks to the skin of the user. The IH1 is designed for patients with diseases or customers taking part in weight loss programs. The data from the device can be viewed and analyzed on a computer or smart device.	http://vancive.averydennison.com/en/home/solutions/metria/products/MetriaIH1.html	Vancive Medical Technologies	Arm	Undisclosed	"Windows,OSX"	No Announcement Yet	USB	"Fitness,Medical"	Metria.png?itok=UVoOue0_	Health	Rechargeable Battery	"Accelerometer,Galvanometer,Thermometer"
114	MindWave	MindWave	"Emotiv Neuroheadset,InteraXon Muse,4D Force,Imec EEG Headset,SMI Eye Tracking Glasses"	"          The NeuroSky MindWave is a wearable headset developed by NeuroSky Inc to measure brainwave signals and monitor attention levels of the students. The brainwave signals and the attention span can be viewed on the computer, and these information are used to determine how well the student is learning. This hi tech device also comes with ten different software programs that range from fun entertainment to advanced education."	"http://store.neurosky.com/products/mindwave-1,http://twitter.com/NeuroSky_BCI,http://www.facebook.com/NeuroSkyBCI,http://www.youtube.com/user/NeuroSky"	NeuroSky Inc.	Head	Available Now	"Windows,OSX"	$79.99 USD	WiFi	Lifestyle	MindWave_0.png?itok=WRt5PWzm	Training	Disposable Battery	EEG Sensor
115	Mio Alpha	Mio Alpha	"Wellograph Watch,Epson Pulsense Watch,Adidas Smart Run,Basis B1,ConnecteDevice Cookoo"	"          The Mio Alpha is a sleek design sports watch that can detect continuous heart rate without the need of a chest strap. The Mio Alpha has a 99 percent accuracy in measuring heart rate even at running speeds of up to 14.4 mph. Using advanced LED light and optical sensors, this wearable device detects the volume of blood under the user's skin to determine the heart rate. This technological watch is equipped with wireless connectivity abilities that allows it to sync to the computer."	"http://www.mioglobal.com/Default.aspx,https://www.facebook.com/mioglobal,http://www.youtube.com/user/mioglobalvideos,https://twitter.com/mioglobal"	Mio	Wrist	Available Now	"Android,iOS"	$199.00 CAD	Bluetooth	"Fitness,Lifestyle"	Mio%20Sports%20Watch.png?itok=LjNzinx6	Training	Rechargeable Battery	"Heart Rate Monitor,LCD Display,Button Interface,Clock"
116	Mirama Digital Glasses	Mirama	"Atheer One,META Pro,Google Glass,META Developer Edition,Optinvent Ora-S"	"          The Mirama is a digital glasses that has two main technological features which are the Augmented Reality and Gesture control. In the AR feature, the glasses uses image recognition and geolocation to allow the user to view information based on what they are looking. The gesture control can be used to control the glasses and other future applications. Currently, this wearable device is still in its development stages but limited amount of prototype is available for order."	"http://mira.ma/,https://www.facebook.com/brilliantservice"		Head	Available Now	"OSX,Windows,Linux,Android"	"¥3,000,000.00 JPY"	"USB,HDMI,WiFi,Cellular Network,Bluetooth"	"Lifestyle,Entertainment"	mirama.png?itok=DMOoA9FZ	Productivity	Rechargeable Battery	"Gyroscope,Depth Camera,Photo Camera,Accelerometer,Audio Jack,Backlight,Gesture Interface,GPS,Infrared Sensor,Magnetometer"
117	Misfit Shine	Shine	"Cuff,Fitbug Orb  ,Fitbit One,FitBark Tracker,Xensr "	"          The Misfit Shine is a motion-tracking wearable device that can be worn as a clasp, necklace, leather bracelet or sport band. This technological device records activity levels and sleep, translates the information into actionable data, and sends it directly to the smartphone app via Bluetooth. The application, which is available in the Apple Store, then sets targets, shows trends and displays some insights in accordance with the user's fitness goal. The Shine is designed to improve performance and well-being for people leading an active lifestyle."	"http://www.misfitwearables.com/,http://www.facebook.com/MisfitWearables,http://www.twitter.com/misfitwearables,https://plus.google.com/b/114457847536393178457/114457847536393178457/posts,http://www.pinterest.com/misfitwearables"	Misfit	"Wrist,Neck,Body (Anywhere)"	Available Now	iOS	$119.95 USD	Bluetooth	"Fitness,Lifestyle"	Misfit%20Shine_0.jpg?itok=KFulbV2O	Health	Disposable Battery	"Clock,Accelerometer,LED Display"
118	Moff	Moff	"PUSH Fitness Tracker,Bionym Nymi Wristband,NZN Lit,Jawbone Up,Kreyos Meteor"	"          Moff is a wearable device worn on the wrist that reproduces toys' sounds while children are playing. Moff can be controlled via iOS devices, thanks to applications that can be found in the App store. This technological device emits sound effects based on the user's gestures. In addition, Moff is made of soft and strong silicon, which makes it a safe device for children to play with."	"http://www.moff.mobi/,https://www.facebook.com/moff.interface,https://twitter.com/moff_toy"	Moff	Wrist	Undisclosed	iOS	No Announcement Yet	Bluetooth	Gaming	Moff-wearable-smart-toy_1.png?itok=FqpuFq3G	Cost Reduction	Disposable Battery	"Audio Speaker,Accelerometer,Gyroscope"
119	Moov Activity Monitor	Moov	"Fly Fit,EasyWakeMe,Wellograph Watch,PUSH Fitness Tracker,NZN Lit"	"          Moov is a wearable activity monitor worn on the wrist or ankle, depending on the sport or activity being performed. It is compatible with iOS devices as of now, but developers are working on developing an Android platform as well. Moov allows the user to receive their workout performances analysis directly on their smart mobile devices, providing visual and audio presentations. Moov is also programmed to suggest activities according to the user's fitness goals and to calculate calories."	"http://about.moov.cc/,https://www.facebook.com/getmoov,https://twitter.com/GetMoov"	Mushroom Labs	"Wrist,Ankle"	Est. Q3 2014	iOS	$120.00 USD	Bluetooth	Fitness	Moov.png?itok=BabP9Woq	Productivity	Rechargeable Battery	"Accelerometer,Gyroscope,Magnetometer"
120	Moticon OpenGo Science	OpenGo	"3L Labs Footlogger,Catapult OptimEye S5,Xybermind Achillex,Amiigo Fitness Band,Lechal Shoe"	"          The Moticon OpenGo Science is a wearable device that measures plantar foot pressure for motion analysis. These wireless sensor insoles are primarily used in sports science and clinical research, especially for training and rehabilitation purposes. OpenGo works with a data-management software that records and analyzes the measurements."	http://www.moticon.de/en/system/sensor-insole		Feet	Available Now	"Linux,Windows,OSX,Android"	"%u20AC1,795.00 EUR"	ANT+	"Medical,Fitness"	Moticon%20OpenGo%20Science.jpg?itok=TqZ9kPYp	Health	Rechargeable Battery	"Pressure Sensor,Accelerometer"
121	Motorola Motoactv	Motoactv	"Garmin Forerunner GPS Heart Rate Watch,Recon Instruments Snow2,Suunto Ambit,Adidas Smart Run,WearIT Smart Watch"	"          The Motorola Motoactv is a wearable activity monitor and music player designed to be the perfect companion to your exercise routine. The Motoactv can store up to 4,000 songs and also tune into FM radio stations. Once connected via Bluetooth or WiFi, this technological device can synchronize with social media applications as well as obtain weather notifications. In addition, the on-board GPS will give precise location, pace, elevation, and distance traveled. The battery lasts for 20 hours of workout time or 325 hours of standby time."	"https://motoactv.com/home/page/features.html,https://plus.google.com/u/0/+Motorola/posts,http://www.twitter.com/motorola,https://www.facebook.com/motorolaUS,http://www.youtube.com/user/motorola"	Motorola	Wrist	Discontinued	Android	$149.99 USD	"ANT+,Bluetooth,WiFi,USB"	Fitness	Motorola%20Motoactv_0.jpg?itok=s-3rBWoh	Health	Rechargeable Battery	"Touch Interface,LCD Display,Audio Jack,GPS,FM Tuner,Clock"
122	MOV Band	Mov Band	"Wellograph Watch,Polar RCX5,Mio Alpha,Garmin Approach S3,MetaWatch Strata"	          The MOV band is a simplistic wearable device that measures the daily steps and lifetime mileage of the user. The hi tech MOV band includes a USB cord that can be plugged into the computer for charging. The wearable device has an accelerometer that targets motion measurements to measure the daily steps. The MOV band has a low power consumption as well as high shock durability	"http://www.motionfitness.com/ProductDetails.asp?ProductCode=MOV-B1,http://www.twitter.com/motionfitness,http://www.facebook.com/#!/pages/Motion-Fitness/119462681432693?ref=ts,http://www.youtube.com/user/motionfitness"	Motion Fitness	Wrist	Available Now	Undisclosed	$19.00 USD	USB	"Fitness,Lifestyle"	Mov%20Band.png?itok=BmEqxEqO	Training	Rechargeable Battery	"LCD Display,Accelerometer,Clock"
123	Mykronoz ZeNano	ZeNano	"Mykronoz ZeWatch & ZeBracelet,sWaP Watches,Adidas Smart Run,Sqord PowerPod,I%u2019m S.p.A I%u2019m Watch"	"          The Mykronoz Ze-Series are wearable smart watches with the basic features of smartphones. This hi tech device allow an easy access to music control, incoming calls and numbers. The stylish-looking Ze-Series watches connect to smart devices via Bluetooth within a range of 10 meters. The brand offers 3 models: ZeNano (touch-screen, business-like with more applications), ZeWatch (slick and minimalist) and ZeBracelet (curve-shaped and elegant)."	"http://www.mykronoz.com/,https://www.facebook.com/mykronoz,https://twitter.com/mykronoz,https://plus.google.com/113384424446165177166/about,http://www.youtube.com/user/mykronozofficial,http://pinterest.com/mykronoz/boards/"	Mykronoz	Wrist	Available Now	"iOS,Windows,Android,Windows Mobile,OSX,Linux,Blackberry"	$129.00 USD	Bluetooth	Lifestyle	zenano-black-large-2.jpg?itok=lyGkGdeI	Productivity	Disposable Battery	"LCD Display,FM Tuner,Microphone,Pedometer,Touch Interface,Clock"
124	Mykronoz ZeWatch & ZeBracelet	"ZeWatch, ZeBracelet"	"Mykronoz ZeNano,sWaP Watches,Adidas Smart Run,Sqord PowerPod,I%u2019m S.p.A I%u2019m Watch"	"          The Mykronoz ZeWatch and ZeBracelet are wearable smart watches with the basic features of smartphones. They allow an easy access to music control, incoming calls and numbers. The stylish-looking Ze-Series watches connect to smart devices via Bluetooth within a range of 10 meters. The brand offers 3 models: ZeNano (touch-screen, business-like with more applications), ZeWatch (slick and minimalist) and ZeBracelet (curve-shaped and elegant)."	"http://www.mykronoz.com/,https://www.facebook.com/mykronoz,https://twitter.com/mykronoz,https://plus.google.com/113384424446165177166/about,http://www.youtube.com/user/mykronozofficial,http://pinterest.com/mykronoz/boards/"	Mykronoz	Wrist	Available Now	"iOS,Windows,Android,Windows Mobile,OSX,Linux,Blackberry"	$69.00 USD	Bluetooth	Lifestyle	ze-bracelet-white-large-8.jpg?itok=oPluIoTt	Productivity	Disposable Battery	"LCD Display,FM Tuner,Microphone,Pedometer,Touch Interface,Clock"
125	Narrative Clip	Clip	"OMG Autographer,Taser Axon Flex,Tagg Pet Tracker,Cuff,FitBark Tracker"	"          The Narrative Clip (previously dubbed the Memoto) is an automatic camera that continuously captures your life. It takes two geotagged photos every minute and has a capacity of approximately 8000 photos. The camera has a 70° field of view and takes JPEG compressed pictures with a 2560x1920 resolution. Onboard sensors ensure that the wearable device sleeps when it is too dark for a good picture. When connected to a computer or smartphone, the Clip syncs with Narrative's cloud servers. The battery lasts approximately two days and can be charged via the micro-USB port."	"http://getnarrative.com/,https://twitter.com/getnarrative,https://www.facebook.com/GetNarrative,http://www.youtube.com/user/Memototeam"		"Torso,Neck"	Available Now	"Windows,OSX,iOS,Android"	$279.00 USD	USB	Lifestyle	Narrative%20Clip.jpg?itok=EQqSdsy9	Security	Rechargeable Battery	"GPS,Accelerometer,Magnetometer,Photo Camera"
126	Neptune Pine	Pine	"Omate TrueSmart Watch,Samsung Gear 2 Neo,sWaP Watches,Sony SmartWatch,Zypad WL1500"	"          The Neptune Pine is a sleek wearable smart watch that has extensive usefulness thanks to its seamless smart phone connectivity, athletic performance tracking, and entertainment capabilities. Besides the usual smart watch PDA features, the Pine allows users to send and receive calls and text messages, surf the web, and even use Android's powerful Google Now. For fitness savvy users, this technological device is capable of pairing with Neptune's real-time heart rate monitor - the Pulse Counter. The Pine's battery allows for up to 8 hours of talk time and an impressive 120 hours on standby before needing a charge."	"http://www.neptunepine.com/,https://www.facebook.com/neptunepine,https://twitter.com/neptunepine,https://plus.google.com/104835388267729208407,http://www.youtube.com/user/neptunepine"	Neptune	Wrist	Est. March 2014	Undisclosed	$335.00 USD	"Cellular Network,WiFi,Bluetooth,USB,NFC"	"Lifestyle,Fitness,Entertainment"	Neptune%20Pine_0.png?itok=k_Dvn37r	Communication	Rechargeable Battery	"Audio Speaker,Microphone,Audio Jack,Video Camera,Accelerometer,Gyroscope,Magnetometer,GPS,Button Interface,Touch Interface"
127	NFC Ring	NFC Ring	"Fin Thumbring,Logbar Ring,Ringblingz Ring,ElectricFoxy Pulse,Geak Ring"	"          The NFC Ring is an authentication wearable device that can can be programmed to carry a transmittable NFC signal. This signal can be used to transfer information, start apps, or unlock any compatible NFC device (e.g.: smartphone, tablet, door lock, etc.). The NFC Ring is a passive electronic device, which means that it does not require a power source (like a battery). Technically, this technological device doesn't completely qualify as Wearable Technology"" by our strictest definition"	"http://nfcring.com/,http://facebook.com/nfcring,http://twitter.com/nfcring"	McLear Ltd	Fingers	Preorder Only	"Android,iOS,Windows Mobile,Blackberry,Linux"	%u20AC25.00 EUR	NFC	Lifestyle	NFC%20Ring_0.png?itok=e0JZ9vOx	Cost Reduction	No Power Required	Undisclosed
128	Nike FuelBand SE	Fuel Band SE	"Polar Loop,FitBit Flex,Epson Pulsense Wristband,Jaybird Reign,Epson Pulsense Watch"	"          The Nike FuelBand SE is a wearable activity monitor that is used to measure the user's movement throughout the day. The FuelBand SE uses its onboard sensors to determine calories, steps, and NikeFuel (Nike's proprietary metric for quantifying daily activity levels). The user can submit their height, weight, age, and gender to increase the accuracy of the fuel band. This hi-tech device has a battery life of up to 7 days."	"http://www.nike.com/us/en_us/c/nikeplus-fuelband,https://twitter.com/nike,https://www.facebook.com/nike,http://www.youtube.com/nike"	Nike	Wrist	Available Now	"iOS,Windows,OSX"	$149.95 USD	"Bluetooth,USB"	Fitness	Nike%20Fuelband_0.png?itok=HLK6FHEs	Health	Rechargeable Battery	"Accelerometer,LED Display,Clock,Button Interface"
129	NTT Docomo AR Walker	AR Walker	"Tarsier MoveEye,Icedot Crash Sensor,EyeTap Digital Eye Glasses,LG Heart Rate Earphones,Laster Pro Mobile Display"	"          The AR Walker developed by NTT Docomo is a HUD technology that features augmented reality fonctions. AR walker is a small wearable device that can be clipped onto different glasses. This device has a miniature display that can show directions and work as a GPS. In addition, the device can coordinate with smart phones. The company is working on improving the quality of the product and have no plans for commercialization right now."	http://www.engadget.com/2010/10/06/ntt-docomos-ar-walker-is-augmented-reality-at-its-finest-video/	NTT Docomo	Head	Undisclosed	Android	No Announcement Yet	Undisclosed	Lifestyle	AR%20Walker_3.png?itok=dZzTxjcH	Productivity	Rechargeable Battery	
130	Nuubo nECG Minder	nECG Minder	"Duo Fertility ,T.Ware T.Jacket,Preventice BodyGuardian,Hexoskin,Rest Devices Mimo"	          The nECG Minder is a wearable activity monitor designed to record ECG signals (when paired with Nuubo's nECG Shirt) as well as body position and physical activity. All information is recorded on a removable micro-SD card and can also be transferred in real-time using almost any Bluetooth enabled device. The information recorded by the Minder can be processed and analysed by the nECG Suite software.	"http://www.nuubo.com/,https://twitter.com/Nuubo_ES,https://www.facebook.com/pages/Nuubo/315963613811,http://www.youtube.com/user/nuubolabs"	Nuubo	Torso	No Announcement Yet	"OSX,Windows,iOS,Android"	No Announcement Yet	"Bluetooth,USB"	"Lifestyle,Medical"	Nuubo%20nECG%20Minder_0.jpg?itok=pPoH47lZ	Health	Rechargeable Battery	"Accelerometer,Buzzer"
131	NZN Lit	NZN Lit	"Jawbone Up,PUSH Fitness Tracker,Adidas Smart Run,Wellograph Watch,Samsung Gear Fit"	"          The NZN Lit is a smart watch that tracks activities such as walking, running and swimming. The advanced sensors analyze movements and give scores based on the activity level and type, by interpreting steps, distance, duration, intensity, jumps and rotations. This wearable device has wireless capabilities and is compatible with smart phones as well. It allows fitness data to be uploaded and displayed onto smart phones and tracks performances. The users can also share their performances on Facebook, Twitter and Instagram using the NZN lit application."	"http://nznlabs.com/product.html,http://www.facebook.com/nznlabs,http://www.twitter.com/nznlabs,http://youtube.com/nznlabs"	"NZN Labs, Inc"	Wrist	Undisclosed	"iOS,Android"	$149.00 USD	Bluetooth	"Fitness,Lifestyle"	NZN%20Lit.png?itok=92xPaRQg	Health	Rechargeable Battery	"GPS,Gyroscope"
132	O-Synce Screeneye X	Screeneye x	"Recon Instruments Jet,Recon Instruments Snow2,Suunto Ambit,Garmin Forerunner GPS Heart Rate Watch,Kreyos Meteor"	"          The O-Synce Screeneye X is a wearable augmented-reality heads up display used in sports training. The technological device is integrated into a sports visor and displays data such as heart rate, speed, distance, stop times, lap times, training zones and coaching tips right in to the user's field of vision. The information can then be synchronized to a PC thanks to the training lab software, which allows reviews of previous training sessions, performance analysis and goal setting."	"http://www.o-synce.com/en/products/running-fitness/data4vision-series/screeneye-x.html,http://twitter.com/o_synce/,http://www.facebook.com/osynce/"	O-Synce	Head	Available Now	Windows	%u20AC149.90 EUR	"ANT+,USB"	Fitness	O-Synce%20Screeneye%20X.jpg?itok=hZiI22WU	Productivity	Rechargeable Battery	"Clock,Thermometer,Button Interface"
133	Oculus Rift	Rift	"Sony HMZ-T3W Personal 3D Viewer,Cinemizer OLED,InfinitEye Virtual Reality Display,Emotiv Neuroheadset,CastAR"	"          The Oculus Rift is a wearable head mounted display with motion tracking and 3D virtual reality capabilities. It is primarily designed for gaming, but has shown potential in almost any immersive application. Over 50,000 devices have been sold to developers as part of an ongoing process to prepare the Rift for consumer release. In March 2014 Oculus was sold to Facebook for $2bn."	"http://www.oculusvr.com/,http://www.facebook.com/oculusvr,https://twitter.com/Oculus,https://plus.google.com/113411787268279141152,http://www.youtube.com/user/oculusvr"	Oculus	Head	No Announcement Yet	"Windows,OSX,Linux"	$349.00 USD	USB	"Entertainment,Gaming"	Oculus%20Rift_0.jpg?itok=krxbx-xx	Productivity	External Source	"Accelerometer,Gyroscope,OLED Display"
134	Omate TrueSmart Watch	True Smart	"Samsung Gear 2 Neo,Neptune Pine,sWaP Watches,Samsung Gear,Filip Smartwatch"	"          The Omate TrueSmart is a wearable smartwatch with cellular capabilities. It is water resistant and has voice and gesture control. The TrueSmart also has voice calling, text messaging, support for custom apps, GPS tracking and navigation, and a music player. The metal body and sapphire crystal glass were designed to make the TrueSmart both watertight and robust. This hi tech device is powered by a 1.3 GHz dual core processor and comes with up to 1 GB of ram and 4 GB of internal memory with up to 32 GB of expandable memory."	"http://www.omate.com/,https://twitter.com/OmateTrueSmart,https://www.facebook.com/omatetruesmart,https://plus.google.com/u/0/b/104860063598575161591/104860063598575161591/posts"	Omate	Wrist	Available Now	Android	$299.00 USD	"Cellular Network,Bluetooth,WiFi"	Lifestyle	Omate%20TrueSmart.png?itok=WDW0k793	Communication	Rechargeable Battery	"LCD Display,Touch Interface,Video Camera,Photo Camera,Audio Speaker,Microphone,Accelerometer,Gyroscope,Magnetometer,Vibrator"
135	OMG Autographer	Autographer	"Narrative Clip,Taser Axon Flex,Tagg Pet Tracker,Game Golf,Voyce Dog Monitor"	          The OMG Autographer is a wearable device that automatically captures images. It includes a custom 136° wide angle lens designed to come closer to the perspective of the user's eye. This technology was designed to document an entire day through authentic and natural images from the perspective of the wearer.	"http://www.autographer.com/,http://twitter.com/autographer,https://www.facebook.com/Autographer,http://www.youtube.com/user/autographertv"	OMG	"Neck,Torso,Waist"	Available Now	"Windows,iOS,OSX"	$399.00 USD	Bluetooth	Lifestyle	OMG%20Life%20Autographer_0.jpg?itok=LtvErEwq	Security	Rechargeable Battery	"Accelerometer,Magnetometer,GPS,Thermometer,Photo Camera,Video Camera"
136	OMsignal	OMsignal	"Hexoskin,Bioharness 3,Preventice BodyGuardian,Rest Devices Mimo,T.Ware T.Jacket"	"          The OMsignal is a high-performance sports wear that records heart rate and other vital data for fitness and everyday use. The wearable device is made out of antimicrobial material that fights odor and fits comfortably like a second layer of soft skin. The fitness data is continuously recorded onto a small box attached to the shirt which can also be connected to the phone via bluetooth. There is an iPhone App created for the user to view fitness data such as heart rate, step count and breathing rate."	"http://www.omsignal.com/,https://www.facebook.com/OMsignal,https://twitter.com/OMsignal"	OMsignal	Torso	Undisclosed	iOS	No Announcement Yet	Bluetooth	"Fitness,Medical,Lifestyle"	Omsignal.png?itok=SHVVMQst	Health	Rechargeable Battery	"Heart Rate Monitor,Respiratory Monitor,Pedometer"
